canonical_vi,canonical_en,parent_vi,parent_en,keywords
Lương tháng 13,13th month salary,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,\bluong thang 13\b|thang luong thu 13|13th[- ]?month|13 month salary|thirteen.?month
Lương tháng 14 trở lên,14th month salary and above,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,luong thang 14|thang luong thu 14|luong thang 15|thang luong thu 15|14th[- ]?month|15th[- ]?month|16th[- ]?month|extra month salary
Thưởng hiệu suất,Performance bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,performance bonus|thuong hieu suat|thuong theo hieu qua|thuong thanh tich|thuong performance
Thưởng KPI,KPI bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,\bkpi bonus\b|thuong kpi|thuong theo kpi|thuong dat kpi|bonus kpi
Thưởng dự án,Project bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,thuong du an|project bonus|project completion bonus|delivery bonus|thuong on-site|thuong onsite
Thưởng doanh số,Sales bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,sales bonus|thuong doanh so|thuong sale|thuong target|target bonus
Hoa hồng,Commission,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,\bcommission\b|hoa hong|sales commission
Thưởng lợi nhuận,Profit sharing,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,profit sharing|chia se loi nhuan|thuong loi nhuan|profit bonus|profit share|co tuc|dividend
Cổ phiếu ESOP,Employee stock ownership,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,\besop\b|co phieu thuong|co phieu uu dai|stock option|stock options|employee stock|equity compensation|\brsu\b
Thưởng Token / Crypto,Crypto and Token Bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,token bonus|crypto bonus|thuong token|phan bo token|token allocation|coin bonus
Thưởng ký hợp đồng,Signing bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,signing bonus|sign-on bonus|sign on bonus|thuong ky hop dong|thuong gia nhap|welcome bonus
Thưởng giới thiệu ứng viên,Referral bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,referral bonus|employee referral|thuong gioi thieu ung vien|thuong referral|gioi thieu nhan su
Thưởng giữ chân,Retention bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,retention bonus|thuong giu chan|thuong cam ket|loyalty bonus
Thưởng đỗ chứng chỉ,Certification bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,thuong chung chi|thuong thi do chung chi|certification bonus|certificate bonus
Thưởng sáng kiến,Innovation bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,innovation bonus|idea bonus|thuong sang kien|thuong y tuong|thuong cai tien
Thưởng lễ Tết,Holiday bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,holiday bonus|tet bonus|thuong le tet|thuong tet|thuong le|thuong cuoi nam|thuong 2/9|thuong 30/4
Thưởng chuyên cần,Attendance bonus,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,thuong chuyen can|attendance bonus|phu cap chuyen can|chuyen can
Tăng lương định kỳ,Regular salary increase,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,tang luong dinh ky|salary increase|annual salary review|review luong|xet tang luong|pay raise
Đánh giá lương,Salary review,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,salary review|xet luong|danh gia luong|review salary|compensation review|review nang luc
Lương làm thêm giờ,Overtime pay,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,\bot\b|overtime pay|paid overtime|luong lam them|tien tang ca|tien lam them gio|phu cap tang ca
Phụ cấp ngoại ngữ,Foreign language allowance,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,phu cap ngoai ngu|phu cap tieng anh|phu cap tieng nhat|jlpt allowance|toeic allowance|language allowance
Phụ cấp khấu hao thiết bị (BYOD),BYOD allowance,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,byod|bring your own device|phu cap thiet bi|khau hao laptop|phu cap laptop|khau hao thiet bi
Phụ cấp làm việc từ xa,WFH allowance,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,wfh allowance|remote allowance|phu cap wfh|phu cap lam viec tu xa|setup goc lam viec
Phụ cấp ăn trưa,Meal allowance,Lương thưởng & đãi ngộ tài chính,Compensation & Financial Rewards,meal allowance|lunch allowance|food allowance|phu cap an|phu cap com|phu cap an trua|tien an trua
