canonical_vi,canonical_en,parent_vi,parent_en,keywords
Khoa học máy tính,Computer Science,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,khoa hoc may tinh|computer science|\bcs\b|cntt|cong nghe thong tin|information technology|khoa hoc may tinh va cong nghe thong tin|csit
Công nghệ thông tin,Information Technology,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,cong nghe thong tin|information technology|\bit\b|cntt|it major|nganh cntt|cong nghe thong tin va truyen thong|ict
Kỹ thuật phần mềm,Software Engineering,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,ky thuat phan mem|software engineering|\bse\b|phan mem|software dev|nganh phan mem
Kỹ thuật máy tính,Computer Engineering,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,ky thuat may tinh|computer engineering|\bce\b|co khi may tinh|computer eng
Hệ thống thông tin quản lý,Management Information Systems,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,he thong thong tin quan ly|management information system|\bmis\b|information system|he thong thong tin|\bis\b
Mạng máy tính & Truyền thông,Computer Networks & Communications,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,mang may tinh|computer network|truyen thong|networking|network engineering|telecommunications engineering
An ninh mạng,Cybersecurity / Information Security,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,an ninh mang|cybersecurity|information security|bao mat thong tin|security engineering|an toan thong tin
Kỹ thuật dữ liệu,Data Engineering / Data Technology,Công nghệ & Kỹ thuật máy tính,Computer Science & IT,ky thuat du lieu|data engineering|data technology|cong nghe du lieu|data tech
Khoa học dữ liệu,Data Science,Khoa học dữ liệu & Phân tích,Data Science & Analytics,khoa hoc du lieu|data science|\bds\b|data sci|nganh khoa hoc du lieu|data science major
Phân tích dữ liệu,Data Analytics,Khoa học dữ liệu & Phân tích,Data Science & Analytics,phan tich du lieu|data analytics|data analysis|phan tich du lieu va kinh doanh|business analytics|business data analytics
Phân tích kinh doanh,Business Analytics,Khoa học dữ liệu & Phân tích,Data Science & Analytics,phan tich kinh doanh|business analytics|\bba\b|business analysis|business data analytics|analytics business
