province_name,latitude,longitude
Hà Nội,21.0285,105.8542
Hồ Chí Minh,10.7769,106.7009
Hải Phòng,20.8449,106.6881
Đà Nẵng,16.0544,108.2022
Cần Thơ,10.0452,105.7469
An Giang,10.5216,105.1259
Bà Rịa – Vũng Tàu,10.5417,107.2429
Bắc Giang,21.281,106.1975
Bắc Kạn,22.147,105.8348
Bạc Liêu,9.294,105.7216
Bắc Ninh,21.1861,106.0763
Bến Tre,10.2434,106.3756
Bình Định,13.782,109.219
Bình Dương,11.3254,106.477
Bình Phước,11.7512,106.7235
Bình Thuận,11.0904,108.0721
Cà Mau,9.1769,105.1524
Cao Bằng,22.6657,106.263
Đắk Lắk,12.71,108.2378
Đắk Nông,12.0046,107.6907
Điện Biên,21.3856,103.0169
Đồng Nai,11.0686,107.1676
Đồng Tháp,10.4938,105.6882
Gia Lai,13.9833,108.0
Hà Giang,22.8233,104.9836
Hà Nam,20.5835,105.922
Hà Tĩnh,18.3559,105.8877
Hải Dương,20.9409,106.333
Hậu Giang,9.7845,105.4701
Hòa Bình,20.6861,105.3131
Hưng Yên,20.6464,106.0511
Khánh Hòa,12.2585,109.0526
Kiên Giang,10.0125,105.0809
Kon Tum,14.3497,108.0005
Lai Châu,22.3862,103.4703
Lâm Đồng,11.9404,108.4583
Lạng Sơn,21.8537,106.761
Lào Cai,22.4809,103.9755
Long An,10.6956,106.2431
Nam Định,20.4388,106.1621
Nghệ An,18.6796,105.6813
Ninh Bình,20.253,105.9745
Ninh Thuận,11.5643,108.9886
Phú Thọ,21.3227,105.4019
Phú Yên,13.0882,109.0929
Quảng Bình,17.6103,106.3487
Quảng Nam,15.5394,108.0191
Quảng Ngãi,15.1214,108.8044
Quảng Ninh,21.0064,107.2925
Quảng Trị,16.7943,107.0451
Sóc Trăng,9.6033,105.98
Sơn La,21.3256,103.9188
Tây Ninh,11.3352,106.1099
Thái Bình,20.4463,106.3366
Thái Nguyên,21.5671,105.8252
Thanh Hóa,19.8067,105.7852
Thừa Thiên Huế,16.4637,107.5909
Tiền Giang,10.4493,106.342
Trà Vinh,9.9472,106.3423
Tuyên Quang,21.8236,105.2143
Vĩnh Long,10.2396,105.9572
Vĩnh Phúc,21.3608,105.5474
Yên Bái,21.7168,104.8986
