cluster_id,cluster_size,clean_company_name,has_in_company_mapping,matching_key
5,3,T C LOGISTICS VIỆT NAM,0,T C
5,3,T M G,0,T M G
5,3,T T,0,T T
1,2,VPBANK,1,VPBANK
1,2,CHỨNG KHOÁN VPBANK,0,VPBANK
2,2,ĐẦU TƯ SẢN XUẤT XUẤT NHẬP KHẨU MINH ĐỨC,0,MINH ĐỨC
2,2,THƯƠNG MẠI SẢN XUẤT ĐỨC MINH,0,ĐỨC MINH
3,2,NAVIGOS SEARCH,1,NAVIGOS SEARCH
3,2,NAVIGOS SEARCH S CLIENT,0,NAVIGOS SEARCH S CLIENT
4,2,CÔNG NGHỆ CMC,0,CMC
4,2,CÔNG NGHỆ GIẢI PHÁP CMC,0,CMC
6,2,ĐẦU TƯ PHÁT TRIỂN BẤT ĐỘNG SẢN PHÚ HƯNG,0,PHÚ HƯNG
6,2,PHÁT TRIỂN PHÚ MỸ HƯNG,0,PHÚ MỸ HƯNG
7,2,VIETINBANK,1,VIETINBANK
7,2,BẢO HIỂM VIETINBANK,0,VIETINBANK
8,2,PANASONIC VIETNAM,1,PANASONIC VIETNAM
8,2,PANASONIC APPLIANCES VIETNAM,0,PANASONIC APPLIANCES VIETNAM
9,2,F88,1,F88
9,2,KINH DOANH F88,0,F88
